Run,samples,Path Cost History,,,,,,,,,,,,,,,,
1,1058,11.4208676389,11.263180091,11.1195856267,11.0618629932,11.0607664123,11.0607664123,11.0261571837,11.0199064311,10.9862267731,10.8950097638,10.8950097638,10.8931899595,10.8858790069,10.8812388928,10.860205804,10.860205804,10.8478377945
1,1058,11.0533819199,14.1102349758,20.0392551422,27.2924461365,36.0342290401,46.2722001076,58.957075119,73.8859651089,90.0350339413,108.915122032,128.682893991,150.175276041,173.877957106,198.645543098,226.026540041,255.397871971,285.841939926
2,958,11.7338276387,11.7338276387,11.6267671546,11.4643379498,11.3178833056,11.2929498496,11.1865229323,11.1561484581,10.9699451852,10.939362232,10.939362232,10.8892167568,10.8892167568,10.0647249648,10.0001238641,9.986500679,
2,958,13.5695171356,14.0366020203,19.3770251274,25.963435173,34.4831299782,44.1139481068,56.1096401215,70.0790770054,85.7045111656,102.276839018,121.21125412,145.886347055,170.285302162,197.719954967,225.333448172,252.877402067,
3,996,11.5151634981,11.5043768993,11.5011715845,11.492733264,11.4208102902,11.3569149364,11.2349116756,11.1959652934,11.1959652934,11.181096741,11.1502788542,11.1243998284,11.1192876779,11.1174061045,,,
3,996,30.0289728642,37.7624018192,47.8965289593,60.1606488228,74.5249438286,90.7713489532,108.045639992,127.04130888,148.843726873,172.222320795,197.551116943,225.849741936,255.166859865,286.190239906,,,
4,956,11.6399191297,11.5285380971,11.4414916629,11.4320930287,11.4188776911,11.2808674874,11.27028743,11.2341248479,11.2341248479,11.2171181668,11.2136840327,11.0594610391,11.0594610391,11.0419018369,,,
4,956,25.677729845,31.9305617809,41.9551899433,52.6377699375,64.9696788788,80.4197089672,97.7611739635,116.906172991,136.471521854,156.959316969,181.207031012,207.002082825,236.878273964,265.824757814,,,
5,1035,12.1832928886,12.1832928886,11.741372553,11.4721463937,11.396323742,11.2937552903,11.1691600018,11.1028564525,11.0630662125,11.0096314744,11.0096314744,10.9952661943,10.8999117089,10.8516032104,10.8489462439,10.7725940586,10.7676572581
5,1035,13.4294350147,15.6660609245,22.3396790028,30.3367528915,40.5267679691,51.7896380424,65.7332930565,80.5987780094,96.9243099689,114.085278034,133.3850739,153.932030916,177.650281906,205.431728125,233.195014,262.966301918,295.179601908
6,1039,11.7134079987,11.4961084239,11.1013725152,11.0965914488,11.0003755472,10.9998937319,10.953943082,10.9026411519,10.8237902905,10.823417949,10.8130572751,10.8119696532,10.8119696532,10.8059877505,10.7830335567,,
6,1039,22.1796431541,29.3781781197,38.7802820206,49.8442490101,63.0131750107,78.247699976,95.7111241817,114.488269091,134.812220097,157.511339188,181.856407166,209.295070171,238.381051064,270.326115131,302.118249178,,
7,1044,11.6215340068,10.3809486018,10.195691927,10.0981132291,10.0936932656,10.0915294945,10.0650011368,10.0614393488,10.0260290293,10.0232881032,10.0188181079,10.0188181079,10.0013901679,9.9941714304,9.9933422133,9.993103687,9.98658539
7,1044,12.9085168839,15.7687599659,23.0239360332,31.7869849205,42.8780939579,55.236978054,69.0588650703,83.8761909008,101.841439009,122.595926046,145.198258877,168.767665863,195.258553028,224.128428936,254.002912998,286.163515091,320.707541943
8,1034,11.2127490288,11.1894690049,11.1478121901,11.1318332496,11.0958444833,11.074053095,11.074053095,11.0650112818,11.0544478684,10.9221434974,10.8757803009,10.867558498,10.8549754532,10.8494640773,10.8494640773,10.8455714334,
8,1034,18.0462479591,22.9046549797,31.371104002,40.8251810074,51.8842968941,65.7769930363,81.3365619183,97.7558300495,116.989248991,138.73456502,160.640897989,185.073560953,213.769605875,243.656672955,274.149509907,309.086724043,
9,841,10.414689652,10.331201578,10.3174393558,10.047930747,10.0403638087,10.0048817805,9.9412610951,9.9337844174,9.9337844174,9.9326680915,,,,,,,
9,841,66.4274170399,68.6346418858,81.2947359085,95.7655339241,112.146092892,130.969908953,151.58363986,173.300741911,198.846276045,224.04960084,,,,,,,
10,1053,11.2708294571,11.2708294571,11.2696770088,11.1679992021,11.1297784878,11.0278986513,11.0141754882,11.0116101449,11.0114496475,10.9875201407,10.9875201407,10.9735780778,10.9407578981,10.9251018635,10.9189715638,10.9189715638,
10,1053,16.8077218533,22.7920758724,30.9939229488,41.227077961,53.962654829,68.0627188683,84.6810629368,102.432256937,122.140676975,143.135740995,170.067437887,199.539373875,228.508057833,259.46468091,290.859276056,321.845175028,
