Run,First Solution,FS Iter,samples,Path Cost History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,490,1323,11.4963690265,11.4960330514,11.4960330514,11.3382374706,11.069020266,11.069020266,11.0354549829,10.9188061771,10.915442377,10.915442377,10.915442377,10.9023269345,10.9023269345,10.8440196226,10.8398255694,10.8398255694,10.8398255694,10.8205058902,10.7900382011,10.7900382011,10.7809267866,10.767282917,10.7668392766,10.7656735181,10.7656735181,10.7499202415,10.7499202415,10.7499202415,10.7392891949,10.7392891949,10.7218122098,10.7218122098,10.7049536242,10.7024723252,10.6981323222,10.6936865436,10.6845997747,10.6823066578,10.6781436704,10.6781436704,10.676897257,10.6640248356
2,0,890,1146,15,15,15,15,15,15,15,15,11.4600660552,11.4600660552,11.2820606042,11.254420409,11.0696409735,11.0675012703,11.0435689478,11.0435689478,11.0435689478,11.04329356,11.020630137,11.020630137,11.0086675,10.9803734613,10.9273100949,10.9266670344,10.9117603514,10.9055308185,10.8808185005,10.8407143356,10.8407143356,10.8407143356,10.8407143356,10.8407143356,10.8407143356,10.8407143356,10.8379693721,10.8270217622,10.8225851246,10.8225851246,10.8225851246,10.8181068983,10.8181068983,10.8181068983
3,14.4038779736,510,1317,15,11.6440451259,11.6440451259,11.6367032943,11.5945652259,11.5789874846,11.5724456356,11.2940473701,11.2725732275,11.1703786084,11.1691125584,11.1691125584,11.1314958215,11.1167016917,11.1081811188,11.1039560943,11.1030534808,11.0754730698,11.0515424637,11.0494244416,11.0494244416,11.0494244416,10.9919874382,10.99036411,10.9834389427,10.9674871316,10.9674871316,10.9194148848,10.9194148848,10.910881127,10.9063967268,10.8355172599,10.8355172599,10.8312730743,10.8305467627,10.8103831056,10.8103831056,10.8103831056,10.8103831056,10.8103831056,10.8017317343,10.7837408775
4,23.4756939411,710,1258,15,15,15,15,15,11.4932928589,11.4261449585,11.3651094508,11.2811951693,11.2374667948,11.2374667948,11.2374667948,11.1940915057,11.1936673179,11.1588628864,11.081703566,11.0673212398,11.0516706665,11.051253965,10.962545476,10.9228163191,10.9228163191,10.9063707805,10.9063707805,10.9063707805,10.9063707805,10.8873507704,10.8873507704,10.8872288711,10.874178157,10.866753361,10.866753361,10.866753361,10.854459807,10.854459807,10.854459807,10.854459807,10.854459807,10.8542523032,10.8484384529,10.8484384529,10.8484384529
5,21.5232338905,660,1357,15,15,15,15,11.4918840521,11.4755762551,11.465694213,11.2989398558,11.2989398558,11.2970289696,11.1460740205,11.0920539979,11.0862548175,11.0767323044,11.0767323044,11.0725498567,11.0611795099,11.0611795099,11.0611795099,11.0611795099,11.0561436364,11.0498183139,11.0498183139,11.0498183139,11.0487708988,11.0487708988,11.0291944492,11.0291944492,11.0289382718,11.0289382718,10.9572496496,10.9313210206,10.9313210206,10.9294499461,10.9294499461,10.9290781581,10.9279083273,10.9246879029,10.9246879029,10.9246879029,9.9619293152,9.9295496184,
6,17.3673889637,510,1347,15,10.2084818446,10.2084818446,10.2084818446,10.0983504391,10.0983504391,10.0983504391,10.0983504391,10.0983504391,10.0391266407,10.0373195017,10.0182197171,9.9995284701,9.9917660813,9.9712535818,9.9484755268,9.9484755268,9.8905828602,9.8866264317,9.8866264317,9.8866264317,9.8822288082,9.8822288082,9.8822288082,9.8822288082,9.8822288082,9.8822288082,9.8799802721,9.8794273107,9.8794273107,9.8794138925,9.8773437601,9.8728328564,9.8728328564,9.8698110662,9.8698110662,9.840244422,9.8253194416,9.8253194416,9.8253194416,9.8180261009,9.8180261009
7,24.053647995,740,1291,15,15,15,15,15,11.5920284295,11.5920284295,11.477329156,11.4174503045,11.2062058272,11.2062058272,11.0780742156,11.0780742156,11.0779635858,11.0439834288,11.0045947681,10.9898734175,10.9898734175,10.9575482394,10.9575482394,10.9151780108,10.9150834295,10.8956665513,10.8752429585,10.8752429585,10.8628054526,10.8628054526,10.7737025845,10.7706838584,10.7706838584,10.7706838584,10.7660820865,10.7642775949,10.7515352311,10.7496809863,10.748624797,10.748624797,10.7483848954,10.7483848954,10.7483848954,10.7159226084,10.7159226084
8,15.218031168,530,1358,15,11.5336611269,11.5301521553,11.4154733624,11.4147985049,11.3980944287,11.319571479,11.2181459533,11.1849425514,11.1813523021,11.1784385769,11.1030966204,11.0908918191,11.0409863793,11.0409863793,11.0409863793,11.0207956306,11.0026491525,11.0026491525,11.0005234569,11.0005234569,10.993354677,10.993354677,10.9598245916,10.9598245916,10.9549245403,10.9549245403,10.9549245403,10.9445082221,10.9445082221,10.9445082221,10.9445082221,10.8975239291,10.8975239291,10.8975239291,10.8975239291,10.8642993058,10.8610804336,10.8610804336,10.8608786327,10.8608786327,10.8433880299
9,31.2953939438,770,1245,15,15,15,15,15,15,11.3141741256,11.260709008,11.260709008,11.1122564576,11.0792505693,11.0792505693,11.0691180754,11.0280771734,10.9821646715,10.9770505241,10.9770505241,10.9770505241,10.9770505241,10.9172168223,10.9172168223,10.9172168223,10.903385868,10.903385868,10.8991413659,10.8991171245,10.8991171245,10.8991171245,10.8030256919,10.782149275,10.782149275,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212,10.7686207212
10,17.4743878841,640,1290,15,15,15,11.4176236442,11.3596343077,11.3210190485,11.3210190485,11.2853593609,11.2853593609,11.2799229901,11.2332860316,11.2171596946,11.2171596946,11.2171596946,11.097770019,11.0850477183,11.0446457147,11.0146343352,11.0013999915,11.0011320887,11.0011320887,11.0011320887,11.0011320887,10.9885061153,10.9885061153,10.9336463464,10.9336463464,10.9289160808,10.9229581758,10.9229581758,10.9172825621,10.8167768605,10.8167768605,10.7916165965,10.7916165965,10.7904315347,10.7904315347,10.7904315347,10.7904315347,10.7904315347,10.7903089977,10.7896171234
